Ground Truth, till laps. One lap per customer leaving the register.
lap  items  food
0:45 2 y
0:30 1 n
0:20 1 n
0:34 1 n
0:48 2 y
0:35 1 y
0:29 1 n
0:44 2 y
0:25 1 n
0:46 1 y
0:43 1 y
0:27 1 n
0:39 2 n
0:22 1 n
0:38 2 n
0:42 1 y
0:49 2 y
0:31 1 n
0:22 1 n
0:26 1 n
0:41 2 y
0:21 1 n
0:20 1 n
0:20 1 n
0:49 2 y
0:22 1 n
0:55 2 y
0:24 1 n
0:29 1 n
0:41 2 y
0:28 1 n
0:22 1 n
0:41 2 y
0:46 2 y
0:27 1 n
0:20 1 n
0:48 2 y
0:33 1 n
0:54 2 y
0:34 1 n
0:51 2 y
0:41 2 y
0:23 1 n
0:47 2 y
0:24 1 n
0:34 1 n
0:41 2 y
0:26 1 n
0:52 2 y
0:22 1 n
0:43 2 y
0:20 1 n
0:30 1 n
0:22 1 n
0:58 3 y
0:25 1 n
0:48 2 y
0:52 2 y
0:21 1 n
0:25 1 n
0:24 1 n
0:28 1 n
0:24 1 n
0:53 2 y
0:38 1 y
0:26 1 n
0:23 1 n
0:33 2 n
0:34 1 n
0:42 2 y
